FY2013_road_lng_km,L3_CODE,area,FY2020_road_lng_km,length_per_road_2013,length_per_road_2020
126,100409,589,680.4542138,0.213921902,1.155270312
2.7,100419,99.8,97.9888269,0.027054108,0.981851973
102,100428,376,1167.554813,0.271276596,3.10519897
13,100447,168,27.3230271,0.077380952,0.162637066
68.9,100485,305,490.1476878,0.225901639,1.607041599
37.5,100602,158,66.915121,0.237341772,0.423513424
30.2,100603,161,86.8694653,0.18757764,0.539561896
65.4,100607,396,186.3682048,0.165151515,0.47062678
11.6,100610,134,37.4458699,0.086567164,0.27944679
52.1,100632,158,86.6158867,0.329746835,0.548201815
24.9,100636,366,31.691909,0.068032787,0.086589915
162,100651,302,1044.430178,0.536423841,3.458378073
33,100662,400,120.6375622,0.0825,0.301593906
14.1,100669,245,15.2826968,0.05755102,0.062378354
42.7,100694,245,117.2287158,0.174285714,0.478484554
51.2,100918,441,325.1296261,0.116099773,0.737255388
33.2,100921,286,151.2414688,0.116083916,0.528816324
41.3,100925,1381,113.3631528,0.029905865,0.082087728
25,100929,307,131.8297404,0.081433225,0.429412835
32.4,100954,382,54.5089859,0.084816754,0.14269368
167,100965,509,233.2379387,0.328094303,0.458227777
5.3,100991,351,59.6670142,0.015099715,0.169991493
72.3,104240,204,147.9708417,0.354411765,0.725347263
0,104243,158,142.3557472,0,0.900985742
28.2,104273,220,204.3172959,0.128181818,0.928714981
52.5,104284,162,97.8340439,0.324074074,0.603913851
121,107838,488,302.5333139,0.24795082,0.619945315
41.7,107852,301,196.6155852,0.138538206,0.653207924
28.6,107855,93.3,74.570558,0.306538049,0.799255713
99.4,107857,1210,924.2853545,0.08214876,0.763872194
140,107866,488,602.9493638,0.286885246,1.235551975
27.6,107876,176,120.6308441,0.156818182,0.685402523
75.6,107895,366,1373.262386,0.206557377,3.75208302
42.2,107914,166,388.5373879,0.254216867,2.340586674
64.6,107947,81.2,227.1662691,0.795566502,2.797614151
65.9,107958,353,265.5313813,0.186685552,0.752213545
30.6,107976,225,72.0984896,0.136,0.320437732
49.7,107980,164,401.1402717,0.30304878,2.445977266
24,107987,185,63.3869766,0.12972973,0.342632306
2.4,107990,99.3,127.3668563,0.024169184,1.282647093
32.9,200304,785,760.9616804,0.041910828,0.969377937
151,200314,528,335.5952936,0.285984848,0.635597147
96.5,200351,704,284.9149396,0.137073864,0.404708721
63.4,200373,517,686.1753342,0.122630561,1.327225018
42.7,200389,436,90.1071576,0.09793578,0.206667793
45.4,200391,628,192.3995236,0.072292994,0.306368668
35.2,200395,986,159.9709557,0.035699797,0.162242349
31.2,201202,85.8,178.9894626,0.363636364,2.086124273
23.3,201204,207,223.20627,0.112560386,1.078291159
11.8,201207,229,173.3799032,0.051528384,0.757117481
49.8,201213,213,343.1754361,0.233802817,1.611152282
27.1,201233,77.6,135.9787727,0.349226804,1.752303772
34.1,201263,217,168.6273938,0.157142857,0.777084764
36.1,201285,360,423.2728797,0.100277778,1.175757999
21.3,201290,317,186.0190823,0.067192429,0.586810985
20,201294,220,92.0530853,0.090909091,0.418423115
57.1,201322,317,182.3212016,0.180126183,0.575145746
64.3,201345,235,123.9897646,0.273617021,0.52761602
0,201347,168,31.6331482,0,0.188292549
25.7,201349,192,186.8112372,0.133854167,0.972975194
48.5,201358,238,291.6067243,0.203781513,1.225238337
35.6,201376,129,146.493103,0.275968992,1.13560545
63.1,201379,282,522.3640105,0.223758865,1.852354647
35.9,201395,154,60.3426863,0.233116883,0.391835625
260,201504,161,450.3525601,1.614906832,2.79722087
150,201506,42.5,240.4582738,3.529411765,5.657841736
39.8,201508,363,595.5185047,0.109641873,1.640546845
89.6,201510,10.4,126.6766164,8.615384615,12.18044388
72.8,201512,139,217.7526373,0.523741007,1.566565736
30.8,201518,200,228.8487927,0.154,1.144243964
103,201519,21.1,194.0541696,4.881516588,9.196880076
128,201520,26,200.5722508,4.923076923,7.714317338
89.3,201528,10.5,177.542025,8.504761905,16.90876429
94.3,201533,759,1267.675973,0.124242424,1.670192323
66.8,201535,14.4,133.5268654,4.638888889,9.272698986
146,201537,229,566.5378967,0.637554585,2.473964614
85.7,201541,9.7,194.3645167,8.835051546,20.03757904
89.5,201543,12.8,175.279433,6.9921875,13.6937057
47.3,201547,260,402.0097542,0.181923077,1.546191362
59.3,201553,511,892.3488834,0.116046967,1.746279615
42.4,201555,11.3,76.419453,3.752212389,6.762783451
62.4,201557,6.4,116.6596746,9.75,18.22807416
477,201561,304,816.1939905,1.569078947,2.684848653
130,201565,32.9,188.0668968,3.951367781,5.716319052
64.7,201570,354,343.8896015,0.182768362,0.971439552
67,201574,244,529.980684,0.274590164,2.172051984
109,201578,390,306.4342799,0.279487179,0.785728923
66.5,201582,277,277.457047,0.240072202,1.001649989
105,201586,493,628.9247928,0.212981744,1.275709519
235,201909,244,377.1287928,0.963114754,1.545609807
9.1,201915,129,93.9225851,0.070542636,0.728082055
47.5,201918,167,212.6940293,0.284431138,1.273616942
62.6,201927,204,630.8015045,0.306862745,3.092164238
64.9,201931,272,1013.885826,0.238602941,3.727521418
135,201933,264,1017.65362,0.511363636,3.854748561
71.1,201936,219,557.4457081,0.324657534,2.545414192
38,201940,239,684.6862975,0.158995816,2.864796224
5.7,201954,124,80.8750974,0.045967742,0.652218527
92.4,201967,120,594.3198855,0.77,4.952665713
50.6,201972,153,162.0987823,0.330718954,1.059469165
18.5,201974,163,95.508593,0.113496933,0.585942288
16.6,201975,110,212.1413184,0.150909091,1.92855744
64.7,201981,342,935.2795773,0.189181287,2.734735606
3.9,201987,235,338.6149018,0.016595745,1.440914476
10.3,201994,111,304.636419,0.092792793,2.744472243
135,202216,494,755.7455911,0.273279352,1.529849375
108,202224,206,601.6310263,0.524271845,2.920538963
84,202245,71.6,169.7826171,1.173184358,2.371265602
150,202249,388,258.2292032,0.386597938,0.665539184
24.8,202256,144,292.7567537,0.172222222,2.033033012
120,202266,383,938.799297,0.313315927,2.451173099
116,202290,369,921.8275449,0.314363144,2.498177628
83.5,202294,257,1499.650435,0.324902724,5.835215698
45.7,203014,135,62.3068456,0.338518519,0.46153219
61.6,203025,141,259.7588508,0.436879433,1.842261353
104,203029,214,382.3807516,0.485981308,1.786825942
24.4,203041,103,46.6411307,0.236893204,0.452826512
35.8,203051,100,79.8648769,0.358,0.798648769
25.2,203094,232,322.2762113,0.10862069,1.3891216
60.8,204643,882,81.6974456,0.06893424,0.092627489
50.1,204649,267,77.9461477,0.187640449,0.291933137
0,204661,211,49.5147528,0,0.234667075
31.6,204665,289,471.175412,0.109342561,1.630364747
31.3,204667,182,74.2773541,0.171978022,0.40811733
28.4,204670,572,46.1330247,0.04965035,0.080652141
23.3,204677,334,29.6357036,0.069760479,0.088729651
42.3,204680,242,98.8871573,0.174793388,0.408624617
16.8,205133,261,60.8548862,0.064367816,0.233160484
154,205143,514,183.0532213,0.299610895,0.356134672
45.9,205158,198,89.583835,0.231818182,0.452443611
91,205165,169,108.9832791,0.538461538,0.644871474
27.4,205173,360,36.3947535,0.076111111,0.101096538
85.9,207507,236,369.7775726,0.363983051,1.566854121
53.8,207510,138,64.6380485,0.389855072,0.468391656
95.7,207521,407,989.0437528,0.235135135,2.430082931
174,207536,961,1656.689164,0.181061394,1.723922127
37.7,207547,138,241.8218824,0.273188406,1.752332481
41.3,207580,163,111.2406289,0.253374233,0.682457846
39.1,207583,171,140.1987331,0.228654971,0.819875632
18.8,207585,549,524.8221668,0.03424408,0.955960231
85.2,207587,382,301.2242484,0.223036649,0.788545153
32.7,208407,1491,48.6410428,0.02193159,0.0326231
0,208421,666,3.5804341,0,0.005376027
29.2,208425,242,105.1505896,0.120661157,0.434506569
0,208429,754,44.6680721,0,0.059241475
38.4,208436,253,106.4137385,0.151778656,0.420607662
0,208447,647,24.3169559,0,0.037584167
45.2,208458,494,46.4560735,0.091497976,0.094040635
31,208475,336,63.8175617,0.092261905,0.189933219
31.8,208478,148,69.9818683,0.214864865,0.472850461
63.5,208487,619,89.8990013,0.102584814,0.145232635
20.2,302602,2.2,41.5015125,9.181818182,18.86432386
133,302604,29.4,395.4194542,4.523809524,13.4496413
38.3,302605,1.5,41.1825163,25.53333333,27.45501087
44,302606,8.6,67.3366096,5.11627907,7.829838326
71.9,302608,12.2,155.2802205,5.893442623,12.72788693
19.8,302609,1.6,26.2352634,12.375,16.39703963
54.5,302610,9.8,104.5958325,5.56122449,10.67304413
32.6,302611,4.3,60.1986136,7.581395349,13.99967758
26.7,302612,20.7,144.4138338,1.289855072,6.97651371
110,302614,310,582.6899062,0.35483871,1.879644859
48.8,302616,2.7,57.7031304,18.07407407,21.37152978
24.6,302618,145,231.8472246,0.169655172,1.598946377
27.7,302624,1.5,33.649547,18.46666667,22.43303133
116,302626,8.5,165.0094994,13.64705882,19.41288228
96.2,302628,6.2,114.0361448,15.51612903,18.39292658
58.9,302629,10.9,151.0945046,5.403669725,13.86188116
83.5,302630,8.2,141.29932,10.18292683,17.23162439
50.4,302632,8.1,160.0110184,6.222222222,19.75444672
25.1,302633,1.3,28.5696087,19.30769231,21.97662208
40.2,302634,2.1,41.4248873,19.14285714,19.72613681
72.3,302636,15.7,153.6950234,4.605095541,9.789491936
118,302637,23,299.1414947,5.130434783,13.00615194
411,302638,183,1030.438745,2.245901639,5.630812815
18,302640,0.7,19.9653225,25.71428571,28.52188929
73.4,302642,4.3,83.2105417,17.06976744,19.35128877
99.8,302648,6.4,149.1069002,15.59375,23.29795316
124,302650,7.4,163.7024779,16.75675676,22.12195647
46.8,302654,3.7,81.8915185,12.64864865,22.13284284
27.3,302662,247,208.3385165,0.110526316,0.843475775
27.6,302663,1.8,32.0560167,15.33333333,17.80889817
162,302664,12.4,212.267292,13.06451613,17.11833
20.8,302665,1.4,33.8523623,14.85714286,24.18025879
52.8,302666,3.6,78.2380351,14.66666667,21.73278753
46.4,302667,3.2,65.8432179,14.5,20.57600559
34.4,302668,5.9,70.558517,5.830508475,11.95907068
278,302672,285,1891.857208,0.975438596,6.638095465
22.2,302674,4.8,43.4437122,4.625,9.050773375
51.3,302675,3.9,78.8386565,13.15384615,20.21504013
33.5,302676,2.3,51.1682165,14.56521739,22.24705065
43.5,302680,4.5,79.1886267,9.666666667,17.5974726
35.9,302688,2.2,45.5985337,16.31818182,20.72660623
28.4,302690,2.4,41.9031369,11.83333333,17.45964038
44.2,302692,3.4,55.9275381,13,16.44927591
58.9,302693,22,227.1492455,2.677272727,10.3249657
118,302695,6.8,140.0218756,17.35294118,20.59145229
35.1,302696,20.5,113.473954,1.712195122,5.535314829
1.1,302903,133,48.9580504,0.008270677,0.368105642
56.2,302910,219,119.6359406,0.256621005,0.546282834
48.8,302918,277,150.440141,0.176173285,0.543105202
18.1,302921,131,90.4689086,0.138167939,0.690602356
90.1,302947,376,319.7711325,0.23962766,0.85045514
55.2,302956,235,131.7477018,0.234893617,0.560628518
41.8,302962,196,53.6537795,0.213265306,0.273743773
41.1,302984,275,329.7648042,0.149454545,1.199144743
9.4,302990,188,108.7248425,0.05,0.57832363
301,303330,459,1418.545726,0.65577342,3.090513564
170,303332,313,368.3821187,0.54313099,1.176939676
95.9,303334,222,284.7724128,0.431981982,1.282758616
220,303336,362,334.8652145,0.607734807,0.925042029
241,303386,461,449.851471,0.522776573,0.97581664
126,303532,382,196.8975491,0.329842932,0.51543861
80.3,303543,291,268.0619021,0.275945017,0.921174921
49.6,303551,369,95.0056285,0.134417344,0.257467828
68.6,303558,312,192.5284186,0.219871795,0.617078265
27.5,303591,128,55.1641521,0.21484375,0.430969938
90.3,303907,209,203.7705174,0.432057416,0.974978552
71.2,303915,267,197.610968,0.266666667,0.740115985
59.8,303929,340,970.1508701,0.175882353,2.853384912
254,303936,498,758.4613832,0.510040161,1.523014826
41.6,303958,225,918.3904843,0.184888889,4.081735486
99.6,303961,260,896.7576134,0.383076923,3.449067744
129,303985,260,308.3115842,0.496153846,1.185813785
12,304802,305,195.439189,0.039344262,0.640784226
49.2,304806,189,85.7721215,0.26031746,0.453820749
37.8,304811,118,75.5409201,0.320338983,0.640177289
35.5,304827,121,141.5127711,0.29338843,1.169527034
6.4,304833,390,133.3898841,0.016410256,0.342025344
20.4,304842,202,94.7029314,0.100990099,0.468826393
38.7,304845,215,305.6934912,0.18,1.421830192
63.3,304849,174,383.1946094,0.363793103,2.20226787
18.3,304854,106,63.5343908,0.172641509,0.599381045
0,304859,223,72.1312519,0,0.323458529
40.8,304876,201,197.8822195,0.202985075,0.984488654
40,304879,176,400.5690891,0.227272727,2.275960734
18.5,304892,145,155.8937343,0.127586207,1.075129202
55.1,305440,269,120.0983104,0.204832714,0.44646212
57.5,305454,260,117.218107,0.221153846,0.450838873
16.4,305480,237,91.9652585,0.069198312,0.388039065
53,305487,367,229.6255225,0.144414169,0.625682623
9,305610,213,83.8047327,0.042253521,0.393449449
34.6,305622,146,64.0153849,0.236986301,0.43846154
19.4,305628,266,144.2107257,0.072932331,0.542145585
42.3,305646,218,307.2582552,0.194036697,1.409441538
20.6,305670,139,64.9374042,0.148201439,0.46717557
25.3,305678,199,140.3210678,0.127135678,0.705130994
97.2,305682,214,545.0936231,0.454205607,2.547166463
22.4,305924,135,272.3475111,0.165925926,2.017388971
25.7,305944,138,176.1163558,0.186231884,1.276205477
102,305956,169,307.4083729,0.603550296,1.818984455
98.8,305974,180,256.6938487,0.548888889,1.426076937
55.9,305984,201,192.6357864,0.278109453,0.958386997
17,305994,113,226.0198189,0.150442478,2.000175388
177,306113,446,475.7343836,0.396860987,1.066669022
61.7,306116,257,352.8263272,0.240077821,1.372865086
195,306120,397,378.2743573,0.491183879,0.952832134
72.7,306122,397,285.4385072,0.183123426,0.718988683
105,306123,282,407.3160611,0.372340426,1.444383195
85.1,306124,352,332.3612081,0.241761364,0.944207978
90.5,306131,280,510.4671989,0.323214286,1.823097139
393,306152,382,1168.771085,1.028795812,3.059610171
137,306165,314,254.21536,0.436305732,0.809603057
74.8,306172,326,319.7175004,0.229447853,0.980728529
203,306181,566,636.4583619,0.358657244,1.124484738
142,306194,337,322.5252698,0.421364985,0.957048278
78.4,306702,177,325.2398721,0.442937853,1.837513402
65.5,306704,184,606.7702514,0.355978261,3.29766441
23,306706,56.9,298.9448448,0.404217926,5.253863705
119,306758,107,788.6819428,1.112149533,7.370859279
62.1,306768,184,979.4829698,0.3375,5.32327701
15.3,306807,119,151.6173445,0.128571429,1.274095332
96,306852,194,510.1186409,0.494845361,2.62947753
